dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,n_comp,dimension,n_levels,method_label
sim_indoor_v1,test_id,quantized,128,128.0,0.0,0,0.0,0,0.743993371996686,0.6417276583909448,0.30750800010537205,0.3107480000153373,0.3333680001560424,5.279787799941005,2420,0,b2d66d0,120.0,,,,quantized
sim_indoor_v1,test_id,pca,128,128.0,0.0,0,0.0,0,0.7431648715824358,0.6480952352197017,4.006132000085927,4.056589600168081,0.1933430000917724,0.20675750004102156,620,25200,b2d66d0,,30.0,,,pca
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8649544324772163,0.8002418954705035,0.4818699999304954,0.48224259987819096,0.34718699998848024,0.36816600015754375,20500,737280,b2d66d0,,,1024.0,,binary_hash_D1024
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.7257663628831814,0.6569533449380223,2.0016060000216385,2.0190597000237176,0.2612200000839948,0.27543549995243666,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.7473073736536868,0.6436382849372578,0.27675899991663755,0.2834657999983392,0.3228660000331729,0.3395978998923965,3620,0,b2d66d0,180.0,,,,quantized
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.7547638773819387,0.6430222945087841,8.045466000112356,8.080216800135531,0.19885400001840026,0.21198409990574874,2540,94320,b2d66d0,,126.0,,,pca
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.7360140000400861,0.7742892000351276,0.7829769999716518,0.8228307998479067,81940,2949120,b2d66d0,,,4096.0,,binary_hash_D4096
sim_indoor_v1,test_id,pure_hdc,512,128.0,0.0,0,0.0,0,0.7257663628831814,0.6569533449380223,1.9887169999037724,2.0948242997974376,0.26834400000552705,0.26910179997230443,20500,217088,b2d66d0,,,1024.0,32.0,pure_hdc_D1024
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,6.101422000028833,6.362006199879033,0.7356240000717662,0.7582554001601238,81940,868352,b2d66d0,,,4096.0,32.0,pure_hdc_D4096
sim_indoor_v1,test_id,quantized,2048,188.0,0.0,0,0.0,0,0.7473073736536868,0.6436382849372578,0.2733029998580605,0.28176569999232015,0.3130180000425753,0.34494280007493217,3620,0,b2d66d0,180.0,,,,quantized
sim_indoor_v1,test_id,pca,2048,728.0,0.0,0,0.0,0,0.7489643744821872,0.6451009917684579,8.045072999948388,8.087262299886788,0.21223499993539008,0.2265701999704106,3620,133200,b2d66d0,,180.0,,,pca
sim_indoor_v1,test_id,binary_hash,2048,2048.0,0.0,0,0.0,0,0.9486329743164872,0.916460715294089,3.6490719999164867,7.527992799964522,2.767725000012433,2.819322000118518,327700,11796480,b2d66d0,,,16384.0,,binary_hash_D16384
