dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension,method_label
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,0,0.6246893123446562,0.5357791244500123,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,32,0.0,0,0.48135874067937034,0.41850719927916896,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,0,0.5128417564208783,0.44249775516911055,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,128,0.0,0,0.28003314001657,0.25587856519045726,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,0,0.23363711681855842,0.1478866789037506,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,512,0.0,0,0.18392709196354598,0.15816554090887475,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,0,0.1864125932062966,0.07957488870273881,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,1,,,quantized
sim_indoor_v1,test_id,quantized,512,188.0,0.0,1024,0.0,0,0.17232808616404308,0.12331816008644067,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,True,1,,,quantized+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,0,0.3148301574150787,0.282962548973414,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
sim_indoor_v1,test_id,pca,512,512.0,0.0,32,0.0,0,0.3753106876553438,0.3292026270708829,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,True,1,126.0,,pca+intl
sim_indoor_v1,test_id,pca,512,512.0,0.0,128,0.0,0,0.2526926263463132,0.2298335030348809,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,1,126.0,,pca
