dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,hybrid_mode,frontend,mix,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.0,,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,0,0.9072079536039768,0.8620044073764136,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.00998687744140625,0.01,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,0,0.8806959403479702,0.8121249388020548,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.04975128173828125,0.05,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,0,0.8376139188069595,0.7694947658845238,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.09943008422851562,0.1,,,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.0,,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.7265948632974316,0.6599649927290191,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.00998687744140625,0.01,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.724109362054681,0.6564518994283017,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.04975128173828125,0.05,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.7265948632974316,0.6571465693367988,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.09943008422851562,0.1,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9784589892294946,0.9617930178238968,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.0,,linear,,,,pure_hdc_D4096+lin
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.9751449875724938,0.9565722185854941,0.0,0.0,0.0,0.0,163880,868352,a46535d,4096,False,0,none,none,32,0.00998687744140625,0.01,linear,,,,pure_hdc_D4096+lin
