dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,hybrid_mode,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,0,0.9072079536039768,0.8620044073764136,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,0,0.8806959403479702,0.8121249388020548,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,0,0.8376139188069595,0.7694947658845238,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,4096.0,False,0,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.7265948632974316,0.6599649927290191,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.724109362054681,0.6564518994283017,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.7265948632974316,0.6571465693367988,0.0,0.0,0.0,0.0,81940,868352,51d3d02,4096.0,False,0,,pure_hdc_D4096
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.0,0,0.0,0,0.724109362054681,0.6258299991696015,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.01,0,0.0,0,0.7232808616404308,0.6237427498214779,0.0,0.0,0.0,0.0,81940,1048576,51d3d02,4096.0,False,0,frozen,hybrid_hdc:frozen
