shots_per_class,seed,method,method_tag,hdc_head,n_centroids,budget_bytes,dimension,before_new_acc,before_old_acc,new_acc,old_acc,forgetting,delta_new,adapt_ms,sweep,git_commit
10,0,hdc_k1,hdc_k1,prototype,1,128,1024,0.6922622563496751,0.7257663628831814,0.7028942705256941,0.7274233637116818,-0.001657000828500399,0.010632014176019,3.933984989998862,k16_adaptation_128b,896ab9d
10,0,hdc_k16,hdc_k16,prototype,16,128,1024,0.8281157708210277,0.9544324772162386,0.8417011222681631,0.9511184755592378,0.003314001657000798,0.013585351447135352,8.990820992039517,k16_adaptation_128b,896ab9d
10,0,hdc_linear,hdc_linear,linear,1,128,1024,0.8050797401063201,0.9461474730737366,0.8068517424689899,0.9486329743164872,-0.0024855012427505985,0.0017720023626698334,2644.2789050051942,k16_adaptation_128b,896ab9d
50,0,hdc_k1,hdc_k1,prototype,1,128,1024,0.6922622563496751,0.7257663628831814,0.7129356172474897,0.7191383595691798,0.006628003314001596,0.020673360897814574,33.63755899772514,k16_adaptation_128b,896ab9d
50,0,hdc_k16,hdc_k16,prototype,16,128,1024,0.8281157708210277,0.9544324772162386,0.887182516243355,0.9511184755592378,0.003314001657000798,0.05906674542232726,40.963047998957336,k16_adaptation_128b,896ab9d
50,0,hdc_linear,hdc_linear,linear,1,128,1024,0.8050797401063201,0.9461474730737366,0.8434731246308328,0.9353769676884839,0.010770505385252704,0.038393384524512686,6635.77342100325,k16_adaptation_128b,896ab9d
100,0,hdc_k1,hdc_k1,prototype,1,128,1024,0.6922622563496751,0.7257663628831814,0.7501476668635558,0.7216238608119304,0.0041425020712509975,0.05788541051388074,40.73859000345692,k16_adaptation_128b,896ab9d
100,0,hdc_k16,hdc_k16,prototype,16,128,1024,0.8281157708210277,0.9544324772162386,0.9090372120496161,0.9461474730737366,0.008285004142501995,0.08092144122858835,80.8447140007047,k16_adaptation_128b,896ab9d
100,0,hdc_linear,hdc_linear,linear,1,128,1024,0.8050797401063201,0.9461474730737366,0.8913171884229178,0.9345484672742337,0.011599005799502904,0.08623744831659774,5165.742944998783,k16_adaptation_128b,896ab9d
10,1,hdc_k1,hdc_k1,prototype,1,128,1024,0.6999409332545776,0.7249378624689312,0.7052569403425871,0.7290803645401823,-0.0041425020712511085,0.0053160070880095,3.851126995868981,k16_adaptation_128b,896ab9d
10,1,hdc_k16,hdc_k16,prototype,16,128,1024,0.8505611340815121,0.9544324772162386,0.863555818074424,0.9552609776304888,-0.0008285004142501995,0.012994683992911926,9.220577994710766,k16_adaptation_128b,896ab9d
10,1,hdc_linear,hdc_linear,linear,1,128,1024,0.7914943886591849,0.9502899751449876,0.8021264028352038,0.9469759734879868,0.003314001657000798,0.010632014176018889,3168.3986080024624,k16_adaptation_128b,896ab9d
50,1,hdc_k1,hdc_k1,prototype,1,128,1024,0.6999409332545776,0.7249378624689312,0.7253396337861784,0.7307373653686827,-0.0057995028997515075,0.02539870053160076,19.11646300868597,k16_adaptation_128b,896ab9d
50,1,hdc_k16,hdc_k16,prototype,16,128,1024,0.8505611340815121,0.9544324772162386,0.8930891907855877,0.9486329743164872,0.0057995028997513964,0.042528056704075556,43.716237996704876,k16_adaptation_128b,896ab9d
50,1,hdc_linear,hdc_linear,linear,1,128,1024,0.7914943886591849,0.9502899751449876,0.8570584760779681,0.9345484672742337,0.0157415078707539,0.06556408741878328,4493.834520006203,k16_adaptation_128b,896ab9d
100,1,hdc_k1,hdc_k1,prototype,1,128,1024,0.6999409332545776,0.7249378624689312,0.7454223272297696,0.7174813587406794,0.007456503728251795,0.04548139397519202,37.36131900222972,k16_adaptation_128b,896ab9d
100,1,hdc_k16,hdc_k16,prototype,16,128,1024,0.8505611340815121,0.9544324772162386,0.9090372120496161,0.9420049710024855,0.012427506213753103,0.058476077968103946,82.1836180111859,k16_adaptation_128b,896ab9d
100,1,hdc_linear,hdc_linear,linear,1,128,1024,0.7914943886591849,0.9502899751449876,0.9066745422327229,0.9262634631317316,0.024026512013256007,0.11518015357353806,5439.763319998747,k16_adaptation_128b,896ab9d
10,2,hdc_k1,hdc_k1,prototype,1,128,1024,0.7046662728883638,0.7299088649544325,0.7129356172474897,0.728251864125932,0.00165700082850051,0.008269344359125852,3.8396540039684623,k16_adaptation_128b,896ab9d
10,2,hdc_k16,hdc_k16,prototype,16,128,1024,0.8428824571766096,0.9511184755592378,0.854695806261075,0.9527754763877382,-0.001657000828500399,0.011813349084465408,8.559669993701391,k16_adaptation_128b,896ab9d
10,2,hdc_linear,hdc_linear,linear,1,128,1024,0.7844063792085056,0.9395194697597349,0.8021264028352038,0.9386909693454847,0.0008285004142501995,0.01772002362669811,5933.228641995811,k16_adaptation_128b,896ab9d
50,2,hdc_k1,hdc_k1,prototype,1,128,1024,0.7046662728883638,0.7299088649544325,0.7265209686946249,0.7183098591549296,0.011599005799502904,0.021854695806261093,18.75182200456038,k16_adaptation_128b,896ab9d
50,2,hdc_k16,hdc_k16,prototype,16,128,1024,0.8428824571766096,0.9511184755592378,0.8889545186060248,0.9527754763877382,-0.001657000828500399,0.04607206142941522,40.88045899698045,k16_adaptation_128b,896ab9d
50,2,hdc_linear,hdc_linear,linear,1,128,1024,0.7844063792085056,0.9395194697597349,0.8552864737152983,0.923777961888981,0.0157415078707539,0.07088009450679267,4007.4707989988383,k16_adaptation_128b,896ab9d
100,2,hdc_k1,hdc_k1,prototype,1,128,1024,0.7046662728883638,0.7299088649544325,0.7578263437684584,0.7249378624689312,0.004971002485501308,0.053160070880094557,44.00651098694652,k16_adaptation_128b,896ab9d
100,2,hdc_k16,hdc_k16,prototype,16,128,1024,0.8428824571766096,0.9511184755592378,0.9119905493207324,0.9469759734879868,0.0041425020712509975,0.06910809214412283,77.2384960000636,k16_adaptation_128b,896ab9d
100,2,hdc_linear,hdc_linear,linear,1,128,1024,0.7844063792085056,0.9395194697597349,0.8948611931482575,0.9179784589892295,0.02154101077050541,0.11045481393975187,4444.76745800057,k16_adaptation_128b,896ab9d
