dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,label_source,theory_ber,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_id,quantized,128,128.0,0.0,0,0.0,0,0.9036144578313253,0.898989898989899,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,,,,quantized
lidardataframes_v1,test_id,quantized,128,128.0,0.05,0,0.0,0,0.6024096385542169,0.5929501271606534,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.04931640625,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,,,,quantized
lidardataframes_v1,test_id,quantized,128,128.0,0.1,0,0.0,0,0.4457831325301205,0.4306680161943319,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0994720458984375,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.0,0,0.0,0,0.8536585365853658,0.8418458781362007,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.05,0,0.0,0,0.5975609756097561,0.5875506072874495,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.04931640625,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.1,0,0.0,0,0.4268292682926829,0.4077979038505354,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0994720458984375,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,,,,quantized
lidardataframes_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.8192771084337349,0.8169853982783044,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,0,0.7710843373493976,0.7709927400277348,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.04931640625,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,,,binary_hash
lidardataframes_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,0,0.6987951807228916,0.6935056136275648,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0994720458984375,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.7804878048780488,0.7768522848310082,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,0,0.7560975609756098,0.7499694002447981,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.04931640625,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,,,binary_hash
lidardataframes_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,0,0.6829268292682927,0.6713882677400119,0.0,0.0,0.0,0.0,16400,737280,2cb4d3c,,False,0,none,none,32,0.0994720458984375,fill,binary_hash,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,,,binary_hash
