dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,dimension,invalid_mode,invalid_storage,method_tag,sweep,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,clean,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.49378624689312345,0.4433639544057512,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.19469759734879868,0.19133727297223152,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.38193869096934546,0.33010496622417995,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.2626346313173157,0.22469036007116633,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6249261665682221,0.54033424196439,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,clean,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.4282339043118724,0.4245601953917205,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.24630832841110456,0.2587004961021998,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.3691671588895452,0.34659224818396983,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.29356172474896636,0.25632132772406174,0.0,0.0,0.0,0.0,81940,2949120,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,binary_hash,k16_sector_encode,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9577464788732394,0.9303367793652747,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9461474730737366,0.9178758423795406,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.8177299088649544,0.7682103338691534,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7796188898094449,0.7005575202642034,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.3951946975973488,0.32241720635962395,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8476077968103958,0.7021949090745319,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,clean,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6975782634376846,0.5645582059569966,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.1,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5936207914943886,0.4218593091607241,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,beam_drop:drop_rate=0.3,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5717660956881275,0.40198315265898665,0.0,0.0,0.0,0.0,1311040,868352,bbbaed8,sector_drop:fraction=0.15,4096,fill,max_range,hdc_k16/fill,k16_sector_encode,prototype,16.0,hdc_k16/fill
