dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,ood_envs,theory_ber,dimension,hdc_head,n_centroids,method_label
semantic2d_v1,test_id,quantized,128,128.0,0.0,0,0.0,0,0.35517568850902187,0.32186954427821135,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,,,,quantized
semantic2d_v1,test_id,quantized,128,128.0,0.05,0,0.0,0,0.20322886989553657,0.19312204773596128,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.04931640625,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,,,,quantized
semantic2d_v1,test_id,quantized,128,128.0,0.1,0,0.0,0,0.15669515669515668,0.1557239134564844,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0994720458984375,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.0,0,0.0,0,0.2529079428381522,0.24093928413030968,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.05,0,0.0,0,0.1701561980724493,0.16725162367382837,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.04931640625,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,,,,quantized
semantic2d_v1,test_ood,quantized,128,128.0,0.1,0,0.0,0,0.14456630109670987,0.13882217527298807,0.0,0.0,0.0,0.0,2420,0,d6cb789,120.0,False,0,none,none,32,0.0994720458984375,fill,quantized,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,,,,quantized
semantic2d_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,0,0.35517568850902187,0.30000440232544967,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,,,binary_hash
semantic2d_v1,test_id,binary_hash,128,128.0,0.05,0,0.0,0,0.315289648622982,0.2534602802414449,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.04931640625,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,,,binary_hash
semantic2d_v1,test_id,binary_hash,128,128.0,0.1,0,0.0,0,0.29154795821462487,0.23295049625742853,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0994720458984375,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,0,0.32103688933200397,0.25679401508803257,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.05,0,0.0,0,0.29677633765370554,0.23138066860821455,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.04931640625,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,,,binary_hash
semantic2d_v1,test_ood,binary_hash,128,128.0,0.1,0,0.0,0,0.30242605516782983,0.23383437921380557,0.0,0.0,0.0,0.0,20500,737280,d6cb789,,False,0,none,none,32,0.0994720458984375,fill,binary_hash,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,,,binary_hash
semantic2d_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.36657169990503324,0.35122872725536664,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.05,0,0.0,0,0.3475783475783476,0.3314658360838938,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,0,0.34947768281101615,0.3371389155489895,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.2376204719175806,0.260890577123488,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.23629112662013957,0.26000782531102185,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.04931640625,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.05,1024.0,prototype,1.0,hdc_k1
semantic2d_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.23728813559322035,0.2602913772662248,0.0,0.0,0.0,0.0,20500,217088,d6cb789,,False,0,none,none,32,0.0994720458984375,skip,hdc_k1,k16_semantic2d,semantic2d_v1,"['eng_9th', 'lobby']",0.1,1024.0,prototype,1.0,hdc_k1
