shots_per_class,seed,method,hdc_head,n_centroids,before_new_acc,before_old_acc,new_acc,old_acc,forgetting,delta_new,adapt_ms
10,0,hdc_k1,prototype,1,0.7217956290608387,0.7299088649544325,0.7282929710572947,0.7274233637116818,0.0024855012427507095,0.006497341996456019,11.078190000262111
10,0,hdc_k8,prototype,8,0.8121677495569994,0.9138359569179785,0.8239810986414648,0.9113504556752279,0.0024855012427505985,0.011813349084465408,21.27825500065228
10,0,hdc_k16,prototype,16,0.8476077968103958,0.9577464788732394,0.8582398109864147,0.9585749792874897,-0.0008285004142503105,0.010632014176018889,35.80298100132495
10,0,hdc_linear,linear,1,0.8139397519196693,0.9784589892294946,0.8251624335499114,0.9776304888152444,0.0008285004142501995,0.011222681630242093,6401.533249998465
50,0,hdc_k1,prototype,1,0.7217956290608387,0.7299088649544325,0.7430596574128765,0.7216238608119304,0.008285004142502106,0.021264028352037778,101.43791400332702
50,0,hdc_k8,prototype,8,0.8121677495569994,0.9138359569179785,0.8653278204370939,0.9113504556752279,0.0024855012427505985,0.053160070880094445,116.83033000008436
50,0,hdc_k16,prototype,16,0.8476077968103958,0.9577464788732394,0.8860011813349085,0.9502899751449876,0.007456503728251795,0.038393384524512686,186.31010899844114
50,0,hdc_linear,linear,1,0.8139397519196693,0.9784589892294946,0.8907265209686946,0.9768019884009942,0.001657000828500399,0.07678676904902537,5313.426984001126
100,0,hdc_k1,prototype,1,0.7217956290608387,0.7299088649544325,0.7655050206733609,0.7207953603976802,0.009113504556752305,0.043709391612522186,157.3770989998593
100,0,hdc_k8,prototype,8,0.8121677495569994,0.9138359569179785,0.8895451860602481,0.8972659486329743,0.016570008285004212,0.07737743650324869,220.4554839991033
100,0,hdc_k16,prototype,16,0.8476077968103958,0.9577464788732394,0.9113998818665091,0.947804473902237,0.009942004971002394,0.06379208505611333,366.0925470030634
100,0,hdc_linear,linear,1,0.8139397519196693,0.9784589892294946,0.9232132309509746,0.9668599834299917,0.011599005799502904,0.10927347903130535,5605.452263000188
10,1,hdc_k1,prototype,1,0.6993502658003544,0.7307373653686827,0.7123449497932663,0.7290803645401823,0.001657000828500399,0.012994683992911926,11.159322995808907
10,1,hdc_k8,prototype,8,0.7985823981098642,0.9113504556752279,0.815711754282339,0.9146644573322287,-0.003314001657000798,0.017129356172474797,21.652126000844873
