dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,n_centroids,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,method_label
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.0,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,0,0.9072079536039768,0.8620044073764136,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.00998687744140625,0.01,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,0,0.8806959403479702,0.8121249388020548,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.04975128173828125,0.05,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,0,0.8376139188069595,0.7694947658845238,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.09943008422851562,0.1,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.0,0,0.0,0,0.6249261665682221,0.54033424196439,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.01,0,0.0,0,0.6172474896633195,0.532923018326332,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.00998687744140625,0.01,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.05,0,0.0,0,0.603071470761961,0.5190219461157364,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.04975128173828125,0.05,,binary_hash
sim_indoor_v1,test_ood,binary_hash,512,512.0,0.1,0,0.0,0,0.5717660956881275,0.496456546964971,0.0,0.0,0.0,0.0,81940,2949120,5e92fce,4096,False,0,1,none,none,32,0.09943008422851562,0.1,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.7265948632974316,0.6599649927290191,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.724109362054681,0.6564518994283017,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.7265948632974316,0.6571465693367988,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7217956290608387,0.6123345363951522,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.0,,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,0,0.7241582988777319,0.6138959856995638,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,0,0.7152982870643827,0.6047448990043189,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,0,0.713526284701713,0.603317808133505,0.0,0.0,0.0,0.0,81940,868352,5e92fce,4096,False,0,1,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.8666114333057167,0.8228139644995226,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.0,,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.8657829328914665,0.8200100753720869,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.8690969345484673,0.826403135346097,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.8649544324772163,0.8208670681099657,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.7720023626698169,0.6447867486353636,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.0,,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.01,0,0.0,0,0.7690490253987006,0.6420605491759221,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.05,0,0.0,0,0.7684583579444773,0.6443236635983127,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.1,0,0.0,0,0.7590076786769049,0.6341634547722379,0.0,0.0,0.0,0.0,327760,868352,5e92fce,4096,False,0,4,none,none,32,0.09943008422851562,0.1,prototype,pure_hdc_D4096/k4
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9138359569179785,0.869737000962501,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.0,,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.9146644573322287,0.8719420517624089,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.00998687744140625,0.01,prototype,pure_hdc_D4096/k8
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.9146644573322287,0.8727115491225126,0.0,0.0,0.0,0.0,655520,868352,5e92fce,4096,False,0,8,none,none,32,0.04975128173828125,0.05,prototype,pure_hdc_D4096/k8
