dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,n_comp,dimension,n_levels
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.7473073736536868,0.6436382849372578,0.2726400000483409,0.28431479997834685,0.3457170000729093,0.376212600076542,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.7547638773819387,0.6430222945087841,7.948374000079639,7.987756200031981,0.21560899995165528,0.2330761998109665,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.7516269999996439,0.7579639001050964,0.8011679999526677,0.8384469000475292,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7299088649544325,0.6638516578731524,6.102678999923228,6.2949576999699275,0.7399210001040046,0.7663126001261844,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.01,0,0.0,0,0.5724937862468932,0.4925915627616006,0.2713159999530035,0.27744589999656455,0.32780200012894056,0.3405694001685333,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.01,0,0.0,0,0.3355426677713339,0.29441823705959075,7.9752290000669745,7.996450099926733,0.2979180001148052,0.3733749000048192,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,0,0.9072079536039768,0.8620044073764136,0.7232650000332796,0.7605718000377237,0.8029690000057599,0.8144259999880887,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,0,0.7265948632974316,0.6599649927290191,5.985279000014998,6.1154981998924995,0.7352009999976872,0.7632404999867504,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.05,0,0.0,0,0.3835956917978459,0.3422772597001955,0.27128599981551815,0.275387300030161,0.32929899998634937,0.353254299989203,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.05,0,0.0,0,0.20629660314830156,0.19646162522674243,7.947021000063614,7.9973273999030425,0.2665360000264627,0.29746899990641396,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,0,0.8806959403479702,0.8121249388020548,0.7145340000533906,0.7522358999722201,0.8321469999827968,0.9059416000582132,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,0,0.724109362054681,0.6564518994283017,6.07923400002619,6.165688900046007,0.7800840000982134,0.8017523999342302,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.1,0,0.0,0,0.28500414250207123,0.2569245469177458,0.2816940000229806,0.29214839996711817,0.3451719999247871,0.3676566999274655,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.1,0,0.0,0,0.15741507870753935,0.14405885479106015,8.050487000218709,8.203274600032273,0.3168299999742885,0.36178319994633057,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,0,0.8376139188069595,0.7694947658845238,0.7350749997385719,0.7688151002184895,0.837404999856517,0.8509833003245149,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,0,0.7265948632974316,0.6571465693367988,6.0626530002991785,6.434016400362452,0.8051230001910881,0.8136027997352357,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,1,0.7473073736536868,0.6436382849372578,0.26928299985229387,0.2765639997960534,0.3332500000396976,0.35933289964305004,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,1,0.7547638773819387,0.6430222945087841,9.138755000094534,12.49369670008491,0.27108900030725636,0.2870586000426556,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,1,0.9270919635459818,0.8840642692353267,0.7323350000660866,0.7439783001245814,0.8159540002452559,0.8329253000283643,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,1,0.7307373653686827,0.662479807302779,6.236776000150712,6.274685799917279,0.7309539996640524,0.7462530999418959,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.01,0,0.0,1,0.5608947804473903,0.4856818911422961,0.2712270002120931,0.2778978000606003,0.33525799972267123,0.34696069997153245,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.01,0,0.0,1,0.32062966031483014,0.28871899282948166,8.005269000022963,8.030972999949881,0.23276799993254826,0.2598813996883109,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,1,0.9221209610604806,0.8787822664739467,0.7319480000660405,0.8199337998576084,0.8093659998849034,0.9310477998042188,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,1,0.7299088649544325,0.6617487566461787,6.363149000208068,6.525252499932321,0.7854510004108306,0.8023277999654965,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.05,0,0.0,1,0.38111019055509526,0.3442359264654108,0.29368600007728674,0.29652459993485536,0.3313930001240806,0.3644761001851293,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.05,0,0.0,1,0.17647058823529413,0.17429053083151597,8.017283000299358,8.024945599890998,0.3218639999431616,0.3463250999175216,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,1,0.8947804473902237,0.8469336363532658,0.7356629998866993,11.557188299957486,0.853000000006432,0.8665584998652776,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,1,0.7307373653686827,0.6628814150486695,6.1593999998876825,6.400001499878272,0.7859069996811741,0.8268812997812347,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.1,0,0.0,1,0.3007456503728252,0.2726640439943601,0.27382000007492024,0.2807851000852679,0.3353279998918879,0.3482600998268026,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.1,0,0.0,1,0.16735708367854185,0.1582767772179838,8.11764599984599,8.174921100271604,0.39872700017440366,0.4317551999974967,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,1,0.844241922120961,0.7964632406807167,5.008346999602509,65.08529099987754,0.8076770000116085,0.8507212999120384,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,1,0.7290803645401823,0.660801544269159,6.111910000072385,6.475563999811129,0.8109659997899143,0.8178204001524136,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,2,0.7473073736536868,0.6436382849372578,0.26747599986265413,0.27775040007327334,0.32711299991206033,0.356946199963204,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,2,0.7547638773819387,0.6430222945087841,8.04706599956262,8.225907699898016,0.21585099966614507,0.23400310005854408,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,36.57234000002063,47.19107910004823,0.9097770002881589,0.9573915001510613,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,6.40363200000138,6.428185799813946,0.7875789997342508,0.7897992999915004,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.01,0,0.0,2,0.5749792874896438,0.5038426904627467,0.26999300007446436,0.27677719995153893,0.3611870001805073,0.4339474997323123,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.01,0,0.0,2,0.31980115990057995,0.2829672015347412,8.04750299994339,8.129125799905523,0.26662700020096963,0.3007262001574418,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,2,0.9154929577464789,0.8709984581765239,0.7094610000422108,0.7527401999141148,0.7984929998201551,0.8162832999460079,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,2,0.7340513670256835,0.6657106025336534,6.08414599992102,6.283466300192231,0.7510430000365886,0.7885685001838283,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.05,0,0.0,2,0.40265120132560067,0.3565693720395412,0.2711529996304307,0.2881467995848652,0.3353540000716748,0.3573734000838158,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.05,0,0.0,2,0.18392709196354598,0.1749493800712729,8.09695499992813,8.137849200056735,0.37599899997076136,0.3899021998677199,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,2,0.875724937862469,0.821259547619636,0.7934969999041641,0.8640345000458183,0.9902130000227771,1.0038966001957306,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,2,0.7332228666114333,0.6665796438495676,6.51775300002555,6.755484399673151,0.8507309999004065,0.893940000105431,81940,868352,b2d66d0,,,4096.0,32.0
sim_indoor_v1,test_id,quantized,512,188.0,0.1,0,0.0,2,0.2990886495443248,0.26618052618917426,0.2737869999691611,0.276056800112201,0.3616019998844422,3.9603995998277237,3620,0,b2d66d0,180.0,,,
sim_indoor_v1,test_id,pca,512,512.0,0.1,0,0.0,2,0.1756420878210439,0.1619630394589587,8.30146499993134,8.63932589986689,0.31118299966692575,0.36535670014927746,2540,94320,b2d66d0,,126.0,,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,2,0.8376139188069595,0.7614697551533712,0.7133509998311638,0.8083270997758518,0.8750209999561775,0.8965921997969417,81940,2949120,b2d66d0,,,4096.0,
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,2,0.7299088649544325,0.6618901973604304,6.231209999896237,6.363301200235583,0.7902549996288144,0.8095464998405077,81940,868352,b2d66d0,,,4096.0,32.0
