dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.01,0,0.7390223695111847,0.634648875214583,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.05,0,0.7050538525269263,0.605583260851108,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,0,0.6586578293289147,0.5665694484492158,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,0,0.5724937862468932,0.5016770695199391,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,0,0.4250207125103563,0.3761574394015409,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.0,0,0.7547638773819387,0.6430222945087841,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.01,0,0.7531068765534383,0.643172280256732,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.05,0,0.7249378624689312,0.6196568761969837,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.1,0,0.6975973487986744,0.601029597343415,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.2,0,0.6205468102734052,0.5387790447076918,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,pca,512,512.0,0.0,0,0.4,0,0.4987572493786247,0.44553402969957434,0.0,0.0,0.0,0.0,2540,94320,51d3d02,,False,0,126.0,
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,0,0.9154929577464789,0.8662026074723801,0.0,0.0,0.0,0.0,81940,2949120,51d3d02,,False,0,,4096.0
