dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,n_comp,dimension,method_label
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.7381938690969345,0.6340064965096708,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,8.0,none,32,0.00014544547872340425,0.00019090777407599314,bpsk_awgn,,,quantized/bpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.6901408450704225,0.5966093830775001,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,6.0,none,32,0.002472573138297872,0.002388290780932807,bpsk_awgn,,,quantized/bpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.5526097763048882,0.4799458788124441,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,4.0,none,32,0.012591422872340427,0.01250081804073755,bpsk_awgn,,,quantized/bpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.4217067108533554,0.3733184627418444,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,2.0,none,32,0.03797165890957446,0.03750612835892598,bpsk_awgn,,,quantized/bpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.29328914664457334,0.26751656077030067,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,0.0,none,32,0.07925739694148937,0.07864960352514258,bpsk_awgn,,,quantized/bpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.251864125932063,0.22548829926797373,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,-2.0,none,32,0.1324281083776596,0.13064448852282917,bpsk_awgn,,,quantized/bpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.4631317315658658,0.40834063033618156,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,8.0,rayleigh_block,32,0.035551030585106384,0.03545906762783807,bpsk_rayleigh_block,,,quantized/bpsk_rayleigh_block
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.3860811930405965,0.3447318237645093,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,6.0,rayleigh_block,32,0.05296293218085106,0.052998883925638784,bpsk_rayleigh_block,,,quantized/bpsk_rayleigh_block
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.347970173985087,0.3156460416988993,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,4.0,rayleigh_block,32,0.07645237699468085,0.07713691605639106,bpsk_rayleigh_block,,,quantized/bpsk_rayleigh_block
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.2792046396023198,0.2522328927788094,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,2.0,rayleigh_block,32,0.10690242686170212,0.10848473204958436,bpsk_rayleigh_block,,,quantized/bpsk_rayleigh_block
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.2618061309030654,0.23653261980671414,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,0.0,rayleigh_block,32,0.14332613031914893,0.1464466094067262,bpsk_rayleigh_block,,,quantized/bpsk_rayleigh_block
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.22866611433305717,0.1991190704589673,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,bpsk,-2.0,rayleigh_block,32,0.18512092752659576,0.18900836834134227,bpsk_rayleigh_block,,,quantized/bpsk_rayleigh_block
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.7381938690969345,0.635934338402693,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,qpsk,8.0,none,32,0.00011427859042553192,0.00019090777407599314,qpsk_awgn,,,quantized/qpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.6752278376139188,0.5791661528301634,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,qpsk,6.0,none,32,0.0023375166223404253,0.002388290780932807,qpsk_awgn,,,quantized/qpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.5534382767191384,0.47810865451733486,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,qpsk,4.0,none,32,0.012123919547872342,0.01250081804073755,qpsk_awgn,,,quantized/qpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.41922120961060483,0.36728681447216405,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,qpsk,2.0,none,32,0.03772232380319149,0.03750612835892598,qpsk_awgn,,,quantized/qpsk_awgn
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,0,0.3272576636288318,0.2924576355025923,0.0,0.0,0.0,0.0,3620,0,7383700,180.0,False,0,qpsk,0.0,none,32,0.07896650598404256,0.07864960352514258,qpsk_awgn,,,quantized/qpsk_awgn
